provider_number,location_number,application_type,county,facility_name,facility_number,line_address_1,line_address_2,city,zip_code,contact_name,contact_phone,licensed_date,capacity,from_age,to_age,hours,months,full_time,star_level,search_link
555710,11,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-SUNSET DR,220263,125 E Sunset Dr,NA,Waukesha,60173,"KRUZYCKI, CARRIE",262-542-6994,05/19/1997,118,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=11
555710,13,LICENSED GROUP,05. BROWN,KINDERCARE LEARNING CTRS 1035,420008,1101 S Taylor St,NA,Green Bay,60173,"GEURTS, EMMY",920-496-0009,11/03/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=13
555710,15,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CENTER,120093,6726 Raymond Rd,NA,Madison,60173,"DUSCHNER, BRITTNEY",608-271-0775,11/03/2002,97,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=15
555710,16,LICENSED GROUP,13. DANE,KINDERCARE LEARNING CTR-OLD SAUK,120162,7126 Old Sauk Rd,NA,Madison,60173,"KREKLOW, COURTNEY",608-831-1223,09/07/2001,135,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=16
555710,18,LICENSED GROUP,44. OUTAGAMIE,KINDERCARE LEARNING CTRS 1304,420184,3036 N Ballard Rd,NA,Appleton,60173,"KAPHINGST, DANA",920-749-9878,09/24/2000,111,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=18
555710,19,LICENSED GROUP,70. WINNEBAGO,KINDERCARE LEARNING CTRS 937,420068,2407 S Oneida St,NA,Appleton,60173,"RYF, KIM",920-738-6920,09/08/2002,134,"0 Year(s), 0 Month(s), 6 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",05:45 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=19
555710,20,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-CLEVELAND,220267,NA,11423 W Cleveland Ave,West Allis,60173,"RUGER, KIMBERLY",414-541-6332,10/13/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=20
555710,21,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-FOREST HM,220269,NA,8650 W Forest Home Ave,Greenfield,60173,"HALBMAN, DEBRA A",414-425-1943,10/13/2002,128,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=21
555710,22,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-PARK PL,220270,10715 W Park Pl,NA,Milwaukee,60173,"GORMAN, DEBRA",414-359-1234,02/25/2001,133,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=22
555710,23,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-COLLEGE,220268,1801 College Ave,NA,South Milwaukee,60173,"NELSON, MICHELLE",414-762-0045,12/30/2001,104,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=23
555710,24,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-N 51ST,220265,8750 N 51st St,NA,Brown Deer,60173,"GORMAN, DEB",414-354-3770,12/30/2001,125,"0 Year(s), 0 Month(s), 6 Week(s)","6 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=24
555710,25,LICENSED GROUP,40. MILWAUKEE,KINDERCARE LEARNING CTRS-LOOMIS,220266,5230 W Loomis Rd,NA,Greendale,60173,"REKOWSKI, KATELYN",414-421-5510,10/13/2002,127,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=25
555710,31,LICENSED GROUP,67. WAUKESHA,KINDERCARE LEARNING CTRS-PREMIER,1000036,NA,W180 N9410 Premier Ln,Menomonee Falls,60173,"GORMAN, DEB",262-532-0098,10/21/1998,120,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=31
555710,33,LICENSED GROUP,59. SHEBOYGAN,KINDERCARE LEARNING CTRS - 1019,420675,3706 S 12th St,NA,Sheboygan,60173,"FAUCHER, STACEY ANN",920-452-8866,11/03/2002,90,"0 Year(s), 0 Month(s), 6 Week(s)","10 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=33
555710,34,LICENSED GROUP,05. BROWN,KINDERCARE LEARNING CTR - FINGER RD,420009,2280 Finger Rd,NA,Green Bay,60173,"STEIN, JENNA",920-465-7900,11/03/2002,130,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:15 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=34
555710,40,OUT OF STATE PROGRAM,99. NO COUNTY,KINDERCARE LEARNING CENTER LLC,2100576,7380 10th St,NA,Oakdale,60173,"MURPHY, KRISTIN",651-735-3711,01/01/2003,176,"0 Year(s), 0 Month(s), 0 Week(s)","11 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:30 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555710&LocationNumber=40
555750,1,LICENSED GROUP,53. ROCK,PENNYS CHILD CARE CENTER LLC,120115,NA,4450 Milton Ave Ste 202,Janesville,53546,"GRAMLEY, PENNY",608-755-0707,12/30/1996,90,"0 Year(s), 0 Month(s), 0 Week(s)","8 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555750&LocationNumber=1
555770,1,LICENSED GROUP,53. ROCK,YWCA ADAMS CHILD CARE CENTER,120148,1138 E Memorial,NA,Janesville,53546,"PETERNEL, LISA",608-743-6347,12/30/1996,34,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=1
555770,2,LICENSED GROUP,53. ROCK,YWCA DISCOVERY CENTER,1003766,1735 S Washington St,NA,Janesville,53546,"PETERNEL, LISA",608-752-5445,03/15/1997,50,"3 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jan-Dec,Y,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=2
555770,6,LICENSED GROUP,53. ROCK,YWCA JEFFERSON CHILD CARE PROGRAM,120347,1831 Mt Zion Ave,NA,Janesville,53546,"PETERNEL, LISA",608-743-6608,07/30/2000,26,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=6
555770,7,LICENSED GROUP,53. ROCK,YWCA KENNEDY CHILD CARE PROGRAM,1002000,3901 Randolph Rd,NA,Janesville,53546,"PETERNEL, LISA",608-743-7567,07/30/2000,40,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=7
555770,8,LICENSED GROUP,53. ROCK,YWCA LINCOLN CHILD CARE PROGRAM,120149,1821 Conde St,NA,Janesville,53546,"PETERNEL, LISA",608-743-6785,07/30/2000,22,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=8
555770,10,LICENSED GROUP,53. ROCK,YWCA ROOSEVELT CHILD CARE PROGRAM,120345,316 Ringold,NA,Janesville,53546,"PETERNEL, LISA",608-743-7047,07/30/2000,34,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=10
555770,11,LICENSED GROUP,53. ROCK,YWCA VAN BUREN CHILD CARE PROGRAM,120346,1515 Lapham,NA,Janesville,53546,"PETERNEL, LISA",608-743-7147,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=11
555770,12,LICENSED GROUP,53. ROCK,YWCA WASHINGTON CHILD CARE PROGRAM,120324,811 N Pine St,NA,Janesville,53546,"PETERNEL, LISA",608-743-7247,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=12
555770,13,LICENSED GROUP,53. ROCK,YWCA MONROE CHILD CARE PROGRAM,1002940,55 S Pontiac,NA,Janesville,53546,"PETERNEL, LISA",608-743-6947,07/30/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,4 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=13
555770,14,LICENSED GROUP,53. ROCK,YWCA HARRISON CHILD CARE PROGRAM,1003141,760 Princeton Rd,NA,Janesville,53546,"PETERNEL, LISA",608-743-6447,08/27/2000,34,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=14
555770,16,LICENSED GROUP,53. ROCK,YWCA MADISON CHILD CARE PROGRAM,1008120,331 N Grant Ave,NA,Janesville,53546,"PETERNEL, LISA",608-743-6847,08/22/2004,40,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=16
555770,26,LICENSED GROUP,53. ROCK,YWCA HARMONY CHILD CARE PROGRAM,1013737,4243 E Rotamer Rd,NA,Janesville,53546,"PETERNEL, LISA",608-868-9360,10/06/2008,50,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Sep-Jun,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=26
555770,28,LICENSED GROUP,53. ROCK,YWCA CONSOLIDATED CHILDCARE CENTER,2002542,4838 N County Road F,NA,Janesville,53546,"PETERNEL, LISA",608-868-9595,09/01/2015,20,"5 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:35 AM,Jan-Dec,-,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555770&LocationNumber=28
555890,1,LICENSED GROUP,54. RUSK,KIDS ETC,520492,701 Menasha Ave,NA,Ladysmith,54848,"OPELT, STACEY",715-532-5200,12/05/2002,32,"5 Year(s), 0 Month(s), 0 Week(s)","14 Year(s), 0 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555890&LocationNumber=1
555890,2,LICENSED GROUP,54. RUSK,TENDER LEARNING CENTER,1006786,611 E Menasha Ave,NA,Ladysmith,54848,"VOJTACEK, BOBBI JO",715-532-5200,12/05/2002,65,"0 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",04:30 AM-05:30 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=555890&LocationNumber=2
556000,1,LICENSED FAMILY,32. LA CROSSE,KIDS ARE MY BUSINESS,530954,1026 Rose St,NA,La Crosse,54603,"MENDEZ, RAMONA E",608-738-4375,10/06/2002,8,"0 Year(s), 0 Month(s), 1 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556000&LocationNumber=1
556030,1,LICENSED GROUP,32. LA CROSSE,MERRI'S MUNCHKINS TOO LLC,1001322,1838 Sunset Ln,NA,La Crosse,54603,"CULBERT, JAIME",608-781-2446,10/06/2002,60,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556030&LocationNumber=1
556110,1,LICENSED GROUP,32. LA CROSSE,GUNDERSEN LUTHERAN CHILD CARE CTR,520211,700 Bennora Lee Ct,NA,La Crosse,54601,"LADWIG, DIANE",608-775-4714,10/06/2002,101,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556110&LocationNumber=1
556170,1,LICENSED FAMILY,18. EAU CLAIRE,NANCY'S FAMILY CHILD CARE,1006862,1211 Lynn Ave,NA,Altoona,54720,"GLEBKE, NANCY",715-864-1557,12/01/2001,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",08:30 AM-08:30 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556170&LocationNumber=1
556260,1,LICENSED FAMILY,09. CHIPPEWA,CAROL BRENNER'S CHILDCARE,530856,3713 Robin Rd,NA,Eau Claire,54703,"BRENNER, CAROL",715-834-8177,12/30/2000,8,"0 Year(s), 0 Month(s), 4 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",-11:59 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556260&LocationNumber=1
556350,2,LICENSED GROUP,29. JUNEAU,CHILDREN'S COTTAGE,1014062,W10460 County Road Pp,NA,Elroy,53929,"BENISH, KARI",608-462-8356,03/10/2009,36,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,Y,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556350&LocationNumber=2
556380,1,LICENSED GROUP,18. EAU CLAIRE,COLOR MY WORLD CHILD CARE NORTH,520011,1903 Western Ave,NA,Eau Claire,54703,"QUILLING, JENIFER",715-835-2060,05/13/1997,75,"0 Year(s), 0 Month(s), 4 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-06:00 PM,Jan-Dec,Y,3 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556380&LocationNumber=1
556530,1,LICENSED FAMILY,34. LANGLADE,MARCINIAKS DAYCARE,630230,W10363 Hwy G,NA,Antigo,54409,"MARCINIAK, JOAN L",715-623-4580,05/16/1997,8,"0 Year(s), 2 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556530&LocationNumber=1
556590,1,LICENSED FAMILY,55. ST. CROIX,TEDDY BEAR PLAYGROUND,530843,1180 Main St,NA,Baldwin,54002,"SMITH, DEBRA J",715-684-3882,12/09/2000,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-05:00 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556590&LocationNumber=1
556710,1,LICENSED FAMILY,11. COLUMBIA,ABLEMAN DAY CARE,1012136,427 Wisconsin Ave,NA,Wisc Dells,53965,"ABLEMAN, DOREEN",608-254-6441,05/20/1997,8,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-05:00 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556710&LocationNumber=1
556760,1,LICENSED FAMILY,35. LINCOLN,KAREN'S FAMILY CHILDCARE,1002453,W5398 Taylor St,NA,Merrill,54452,"GRUND, KAREN",715-722-0058,04/20/1997,8,"0 Year(s), 0 Month(s), 2 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",05:15 AM-05:15 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556760&LocationNumber=1
556980,1,LICENSED FAMILY,12. CRAWFORD,NOAH'S ARK FAMILY DAYCARE,131240,921 S Beaumont Rd,NA,Pr Du Chien,53821,"MORIS, NORA J",608-326-6974,08/06/2000,8,"0 Year(s), 0 Month(s), 4 Week(s)","10 Year(s), 11 Month(s), 0 Week(s)",05:30 AM-05:30 PM,Jan-Dec,Y,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=556980&LocationNumber=1
557000,1,LICENSED GROUP,37. MARATHON,WAUSAU CHILD CARE WEST SIDE CTR,620079,505 N 28th Ave,NA,Wausau,54401,"DWELLY, LISA",715-848-1437,12/31/2000,132,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=1
557000,2,LICENSED GROUP,37. MARATHON,WCC-FRANKLIN SUMMER PROGRAM,620125,1509 N 5th St,NA,Wausau,54401,"HINES, SAMANTHA",715-845-4110,08/26/2001,82,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jun-Sep,-,2 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=2
557000,4,LICENSED GROUP,37. MARATHON,WAUSAU CHILD CARE-FRANKLIN ST CTR,620078,721 Franklin St,NA,Wausau,54401,"HICKMAN, COURTNEY",715-848-7221,12/31/2000,92,"0 Year(s), 0 Month(s), 6 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:00 AM-06:00 PM,Jan-Dec,Y,5 Stars,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=4
557000,5,LICENSED GROUP,37. MARATHON,WCC-GD JONES BEFORE AND AFTER SCHOOL,620403,1018 S 12th Ave,Gd Jones Elementary School,Wausau,54401,"HINES, SAMANTHA",715-845-4110,05/29/1997,13,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:30 AM,Sep-Jul,-,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=5
557000,9,LICENSED GROUP,37. MARATHON,WCC-JEFFERSON BEFORE-AFTER SCHOOL,620202,500 W Randolph St,NA,Wausau,54401,"HINES, SAMANTHA",715-845-4110,09/15/2000,28,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:30 AM,Sep-Jun,-,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=9
557000,10,LICENSED GROUP,37. MARATHON,WCC-MARSHALL BEFORE-AFTER SCHOOL,620161,1918 Lamont St,John Marshall Elementary Sch,Wausau,54401,"HINES, SAMATHA",715-845-4110,09/15/2000,45,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-06:00 PM,Jun-Aug,-,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=10
557000,10,LICENSED GROUP,37. MARATHON,WCC-MARSHALL BEFORE-AFTER SCHOOL,620161,1918 Lamont St,John Marshall Elementary Sch,Wausau,54401,"HINES, SAMATHA",715-845-4110,09/15/2000,45,"4 Year(s), 0 Month(s), 0 Week(s)","12 Year(s), 11 Month(s), 0 Week(s)",06:30 AM-08:30 AM,Sep-May,-,Unknown,https://childcarefinder.wisconsin.gov/ProviderDetails?ProviderNumber=557000&LocationNumber=10
