Row ID,Geography ID,Name,Variable Code,Variable,Value,Variable Unit,Date,Location
19007_2001_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,287728,Thousands of dollars,12/31/2001,POINT (-92.873061 40.744296)
19007_2002_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,297954,Thousands of dollars,12/31/2002,POINT (-92.873061 40.744296)
19007_2003_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,305545,Thousands of dollars,12/31/2003,POINT (-92.873061 40.744296)
19007_2004_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,328452,Thousands of dollars,12/31/2004,POINT (-92.873061 40.744296)
19007_2005_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,326593,Thousands of dollars,12/31/2005,POINT (-92.873061 40.744296)
19007_2006_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,342301,Thousands of dollars,12/31/2006,POINT (-92.873061 40.744296)
19007_2007_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,346942,Thousands of dollars,12/31/2007,POINT (-92.873061 40.744296)
19007_2008_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,376091,Thousands of dollars,12/31/2008,POINT (-92.873061 40.744296)
19007_2009_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,382714,Thousands of dollars,12/31/2009,POINT (-92.873061 40.744296)
19007_2010_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,383113,Thousands of dollars,12/31/2010,POINT (-92.873061 40.744296)
19007_2011_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,400452,Thousands of dollars,12/31/2011,POINT (-92.873061 40.744296)
19007_2012_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,407597,Thousands of dollars,12/31/2012,POINT (-92.873061 40.744296)
19007_2013_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,409096,Thousands of dollars,12/31/2013,POINT (-92.873061 40.744296)
19007_2014_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,414421,Thousands of dollars,12/31/2014,POINT (-92.873061 40.744296)
19007_2015_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,430721,Thousands of dollars,12/31/2015,POINT (-92.873061 40.744296)
19007_2016_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,438863,Thousands of dollars,12/31/2016,POINT (-92.873061 40.744296)
19007_2017_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,460282,Thousands of dollars,12/31/2017,POINT (-92.873061 40.744296)
19007_2018_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,475021,Thousands of dollars,12/31/2018,POINT (-92.873061 40.744296)
19007_2019_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,485141,Thousands of dollars,12/31/2019,POINT (-92.873061 40.744296)
19007_2020_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,525619,Thousands of dollars,12/31/2020,POINT (-92.873061 40.744296)
19007_2021_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,576515,Thousands of dollars,12/31/2021,POINT (-92.873061 40.744296)
19007_2022_CAINC1-1_annual,19007,Appanoose,CAINC1-1,Personal income,577838,Thousands of dollars,12/31/2022,POINT (-92.873061 40.744296)
19009_1997_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,163175,Thousands of dollars,12/31/1997,POINT (-94.904312 41.679178)
19009_1998_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,154993,Thousands of dollars,12/31/1998,POINT (-94.904312 41.679178)
19009_1999_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,150381,Thousands of dollars,12/31/1999,POINT (-94.904312 41.679178)
19009_2000_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,171210,Thousands of dollars,12/31/2000,POINT (-94.904312 41.679178)
19009_2001_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,169030,Thousands of dollars,12/31/2001,POINT (-94.904312 41.679178)
19009_2002_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,174704,Thousands of dollars,12/31/2002,POINT (-94.904312 41.679178)
19009_2003_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,173067,Thousands of dollars,12/31/2003,POINT (-94.904312 41.679178)
19009_2004_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,212169,Thousands of dollars,12/31/2004,POINT (-94.904312 41.679178)
19009_2005_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,204566,Thousands of dollars,12/31/2005,POINT (-94.904312 41.679178)
19009_2006_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,209597,Thousands of dollars,12/31/2006,POINT (-94.904312 41.679178)
19009_2007_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,223555,Thousands of dollars,12/31/2007,POINT (-94.904312 41.679178)
19009_2008_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,248366,Thousands of dollars,12/31/2008,POINT (-94.904312 41.679178)
19009_2009_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,226760,Thousands of dollars,12/31/2009,POINT (-94.904312 41.679178)
19009_2010_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,240151,Thousands of dollars,12/31/2010,POINT (-94.904312 41.679178)
19009_2011_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,289954,Thousands of dollars,12/31/2011,POINT (-94.904312 41.679178)
19009_2012_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,262352,Thousands of dollars,12/31/2012,POINT (-94.904312 41.679178)
19009_2013_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,276973,Thousands of dollars,12/31/2013,POINT (-94.904312 41.679178)
19009_2014_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,256080,Thousands of dollars,12/31/2014,POINT (-94.904312 41.679178)
19009_2015_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,250759,Thousands of dollars,12/31/2015,POINT (-94.904312 41.679178)
19009_2016_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,243437,Thousands of dollars,12/31/2016,POINT (-94.904312 41.679178)
19009_2017_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,254835,Thousands of dollars,12/31/2017,POINT (-94.904312 41.679178)
19009_2018_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,274949,Thousands of dollars,12/31/2018,POINT (-94.904312 41.679178)
19009_2019_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,280003,Thousands of dollars,12/31/2019,POINT (-94.904312 41.679178)
19009_2020_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,291378,Thousands of dollars,12/31/2020,POINT (-94.904312 41.679178)
19009_2022_CAINC1-1_annual,19009,Audubon,CAINC1-1,Personal income,386851,Thousands of dollars,12/31/2022,POINT (-94.904312 41.679178)
19011_1997_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,563221,Thousands of dollars,12/31/1997,POINT (-92.05763 42.092547)
19011_1998_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,586467,Thousands of dollars,12/31/1998,POINT (-92.05763 42.092547)
19011_1999_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,604340,Thousands of dollars,12/31/1999,POINT (-92.05763 42.092547)
19011_2000_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,677817,Thousands of dollars,12/31/2000,POINT (-92.05763 42.092547)
19011_2001_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,697877,Thousands of dollars,12/31/2001,POINT (-92.05763 42.092547)
19011_2002_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,710146,Thousands of dollars,12/31/2002,POINT (-92.05763 42.092547)
19011_2003_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,710535,Thousands of dollars,12/31/2003,POINT (-92.05763 42.092547)
19011_2004_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,777323,Thousands of dollars,12/31/2004,POINT (-92.05763 42.092547)
19011_2005_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,787482,Thousands of dollars,12/31/2005,POINT (-92.05763 42.092547)
19011_2006_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,827185,Thousands of dollars,12/31/2006,POINT (-92.05763 42.092547)
19011_2007_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,912818,Thousands of dollars,12/31/2007,POINT (-92.05763 42.092547)
19011_2008_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1003604,Thousands of dollars,12/31/2008,POINT (-92.05763 42.092547)
19011_2009_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1010155,Thousands of dollars,12/31/2009,POINT (-92.05763 42.092547)
19011_2010_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1050685,Thousands of dollars,12/31/2010,POINT (-92.05763 42.092547)
19011_2011_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1114199,Thousands of dollars,12/31/2011,POINT (-92.05763 42.092547)
19011_2012_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1143304,Thousands of dollars,12/31/2012,POINT (-92.05763 42.092547)
19011_2013_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1177077,Thousands of dollars,12/31/2013,POINT (-92.05763 42.092547)
19011_2014_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1206431,Thousands of dollars,12/31/2014,POINT (-92.05763 42.092547)
19011_2015_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1241796,Thousands of dollars,12/31/2015,POINT (-92.05763 42.092547)
19011_2016_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1251525,Thousands of dollars,12/31/2016,POINT (-92.05763 42.092547)
19011_2017_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1293889,Thousands of dollars,12/31/2017,POINT (-92.05763 42.092547)
19011_2018_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1332819,Thousands of dollars,12/31/2018,POINT (-92.05763 42.092547)
19011_2019_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1374289,Thousands of dollars,12/31/2019,POINT (-92.05763 42.092547)
19011_2020_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1422891,Thousands of dollars,12/31/2020,POINT (-92.05763 42.092547)
19011_2021_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1630582,Thousands of dollars,12/31/2021,POINT (-92.05763 42.092547)
19011_2022_CAINC1-1_annual,19011,Benton,CAINC1-1,Personal income,1785113,Thousands of dollars,12/31/2022,POINT (-92.05763 42.092547)
19013_1997_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,2874222,Thousands of dollars,12/31/1997,POINT (-92.308033 42.471541)
19013_1998_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3001596,Thousands of dollars,12/31/1998,POINT (-92.308033 42.471541)
19013_1999_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3006218,Thousands of dollars,12/31/1999,POINT (-92.308033 42.471541)
19013_2000_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3195184,Thousands of dollars,12/31/2000,POINT (-92.308033 42.471541)
19013_2001_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3266086,Thousands of dollars,12/31/2001,POINT (-92.308033 42.471541)
19013_2002_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3409093,Thousands of dollars,12/31/2002,POINT (-92.308033 42.471541)
19013_2003_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3476949,Thousands of dollars,12/31/2003,POINT (-92.308033 42.471541)
19013_2004_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3690791,Thousands of dollars,12/31/2004,POINT (-92.308033 42.471541)
19013_2005_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,3793770,Thousands of dollars,12/31/2005,POINT (-92.308033 42.471541)
19013_2006_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4007913,Thousands of dollars,12/31/2006,POINT (-92.308033 42.471541)
19013_2007_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4218938,Thousands of dollars,12/31/2007,POINT (-92.308033 42.471541)
19013_2008_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4470088,Thousands of dollars,12/31/2008,POINT (-92.308033 42.471541)
19013_2009_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4492239,Thousands of dollars,12/31/2009,POINT (-92.308033 42.471541)
19013_2010_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4581776,Thousands of dollars,12/31/2010,POINT (-92.308033 42.471541)
19013_2011_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,4885140,Thousands of dollars,12/31/2011,POINT (-92.308033 42.471541)
19013_2012_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5093312,Thousands of dollars,12/31/2012,POINT (-92.308033 42.471541)
19013_2013_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5097542,Thousands of dollars,12/31/2013,POINT (-92.308033 42.471541)
19013_2014_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5287881,Thousands of dollars,12/31/2014,POINT (-92.308033 42.471541)
19013_2015_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5393553,Thousands of dollars,12/31/2015,POINT (-92.308033 42.471541)
19013_2016_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5397651,Thousands of dollars,12/31/2016,POINT (-92.308033 42.471541)
19013_2017_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5531612,Thousands of dollars,12/31/2017,POINT (-92.308033 42.471541)
19013_2018_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5878409,Thousands of dollars,12/31/2018,POINT (-92.308033 42.471541)
19013_2019_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,5924028,Thousands of dollars,12/31/2019,POINT (-92.308033 42.471541)
19013_2020_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,6453677,Thousands of dollars,12/31/2020,POINT (-92.308033 42.471541)
19013_2021_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,6847762,Thousands of dollars,12/31/2021,POINT (-92.308033 42.471541)
19013_2022_CAINC1-1_annual,19013,Black Hawk,CAINC1-1,Personal income,6965825,Thousands of dollars,12/31/2022,POINT (-92.308033 42.471541)
19015_1997_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,643960,Thousands of dollars,12/31/1997,POINT (-93.938358 42.038642)
19015_1998_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,662063,Thousands of dollars,12/31/1998,POINT (-93.938358 42.038642)
19015_1999_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,675708,Thousands of dollars,12/31/1999,POINT (-93.938358 42.038642)
19015_2000_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,732931,Thousands of dollars,12/31/2000,POINT (-93.938358 42.038642)
19015_2001_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,751079,Thousands of dollars,12/31/2001,POINT (-93.938358 42.038642)
19015_2002_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,785840,Thousands of dollars,12/31/2002,POINT (-93.938358 42.038642)
19015_2003_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,815907,Thousands of dollars,12/31/2003,POINT (-93.938358 42.038642)
19015_2004_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,868685,Thousands of dollars,12/31/2004,POINT (-93.938358 42.038642)
19015_2005_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,873369,Thousands of dollars,12/31/2005,POINT (-93.938358 42.038642)
19015_2006_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,943139,Thousands of dollars,12/31/2006,POINT (-93.938358 42.038642)
19015_2007_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,986889,Thousands of dollars,12/31/2007,POINT (-93.938358 42.038642)
19015_2008_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1016982,Thousands of dollars,12/31/2008,POINT (-93.938358 42.038642)
19015_2009_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1036875,Thousands of dollars,12/31/2009,POINT (-93.938358 42.038642)
19015_2010_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1031657,Thousands of dollars,12/31/2010,POINT (-93.938358 42.038642)
19015_2011_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1114482,Thousands of dollars,12/31/2011,POINT (-93.938358 42.038642)
19015_2012_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1130719,Thousands of dollars,12/31/2012,POINT (-93.938358 42.038642)
19015_2013_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1180438,Thousands of dollars,12/31/2013,POINT (-93.938358 42.038642)
19015_2014_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1186304,Thousands of dollars,12/31/2014,POINT (-93.938358 42.038642)
19015_2015_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1190879,Thousands of dollars,12/31/2015,POINT (-93.938358 42.038642)
19015_2016_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1184154,Thousands of dollars,12/31/2016,POINT (-93.938358 42.038642)
19015_2017_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1193847,Thousands of dollars,12/31/2017,POINT (-93.938358 42.038642)
19015_2018_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1237452,Thousands of dollars,12/31/2018,POINT (-93.938358 42.038642)
19015_2019_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1265590,Thousands of dollars,12/31/2019,POINT (-93.938358 42.038642)
19015_2020_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1325357,Thousands of dollars,12/31/2020,POINT (-93.938358 42.038642)
19015_2021_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1433049,Thousands of dollars,12/31/2021,POINT (-93.938358 42.038642)
19015_2022_CAINC1-1_annual,19015,Boone,CAINC1-1,Personal income,1438527,Thousands of dollars,12/31/2022,POINT (-93.938358 42.038642)
19017_1997_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,560800,Thousands of dollars,12/31/1997,POINT (-92.327356 42.780895)
19017_1998_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,570039,Thousands of dollars,12/31/1998,POINT (-92.327356 42.780895)
19017_1999_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,563396,Thousands of dollars,12/31/1999,POINT (-92.327356 42.780895)
19017_2000_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,610142,Thousands of dollars,12/31/2000,POINT (-92.327356 42.780895)
19017_2001_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,632882,Thousands of dollars,12/31/2001,POINT (-92.327356 42.780895)
19017_2002_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,645678,Thousands of dollars,12/31/2002,POINT (-92.327356 42.780895)
19017_2003_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,645314,Thousands of dollars,12/31/2003,POINT (-92.327356 42.780895)
19017_2004_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,728563,Thousands of dollars,12/31/2004,POINT (-92.327356 42.780895)
19017_2005_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,752240,Thousands of dollars,12/31/2005,POINT (-92.327356 42.780895)
19017_2006_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,787813,Thousands of dollars,12/31/2006,POINT (-92.327356 42.780895)
19017_2007_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,848543,Thousands of dollars,12/31/2007,POINT (-92.327356 42.780895)
19017_2008_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,894467,Thousands of dollars,12/31/2008,POINT (-92.327356 42.780895)
19017_2009_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,886992,Thousands of dollars,12/31/2009,POINT (-92.327356 42.780895)
19017_2010_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,933156,Thousands of dollars,12/31/2010,POINT (-92.327356 42.780895)
19017_2011_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1012228,Thousands of dollars,12/31/2011,POINT (-92.327356 42.780895)
19017_2012_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1056906,Thousands of dollars,12/31/2012,POINT (-92.327356 42.780895)
19017_2013_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1051358,Thousands of dollars,12/31/2013,POINT (-92.327356 42.780895)
19017_2014_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1064822,Thousands of dollars,12/31/2014,POINT (-92.327356 42.780895)
19017_2015_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1093269,Thousands of dollars,12/31/2015,POINT (-92.327356 42.780895)
19017_2016_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1108183,Thousands of dollars,12/31/2016,POINT (-92.327356 42.780895)
19017_2017_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1150090,Thousands of dollars,12/31/2017,POINT (-92.327356 42.780895)
19017_2018_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1203641,Thousands of dollars,12/31/2018,POINT (-92.327356 42.780895)
19017_2019_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1239833,Thousands of dollars,12/31/2019,POINT (-92.327356 42.780895)
19017_2020_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1321464,Thousands of dollars,12/31/2020,POINT (-92.327356 42.780895)
19017_2021_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1447881,Thousands of dollars,12/31/2021,POINT (-92.327356 42.780895)
19017_2022_CAINC1-1_annual,19017,Bremer,CAINC1-1,Personal income,1503963,Thousands of dollars,12/31/2022,POINT (-92.327356 42.780895)
19019_1997_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,459564,Thousands of dollars,12/31/1997,POINT (-91.838666 42.470328)
19019_1998_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,470410,Thousands of dollars,12/31/1998,POINT (-91.838666 42.470328)
19019_1999_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,464543,Thousands of dollars,12/31/1999,POINT (-91.838666 42.470328)
19019_2000_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,505504,Thousands of dollars,12/31/2000,POINT (-91.838666 42.470328)
19019_2001_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,523311,Thousands of dollars,12/31/2001,POINT (-91.838666 42.470328)
19019_2002_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,525333,Thousands of dollars,12/31/2002,POINT (-91.838666 42.470328)
19019_2003_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,532118,Thousands of dollars,12/31/2003,POINT (-91.838666 42.470328)
19019_2004_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,584703,Thousands of dollars,12/31/2004,POINT (-91.838666 42.470328)
19019_2005_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,607847,Thousands of dollars,12/31/2005,POINT (-91.838666 42.470328)
19019_2006_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,637481,Thousands of dollars,12/31/2006,POINT (-91.838666 42.470328)
19019_2008_CAINC1-1_annual,19019,Buchanan,CAINC1-1,Personal income,727089,Thousands of dollars,12/31/2008,POINT (-91.838666 42.470328)
