County,License Number,MSDE Program Type,Program Name,City Name,Zip Code,Participation Status,Draft Rating,Publishing Status,Published Rating,Published Rubric Version,Date Published,Expiration Date,Application Acceptance Date,Achievements,Accreditations,Alternative Pathways,Assigned Program Coordinator
Montgomery,92718,Center,KinderCare-000318,Germantown,20876,Yes,3,Active,3,3,Jun 29 2023,Jun 28 2024,Sep 28 2013,Accredited Program 2025-01-01,,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Washington,92249,Family Childcare,Brenda Mackereth,Hagerstown,21740,Yes,3,Active,3,2,Jul 06 2023,Jul 05 2024,Jul 14 2014,,,No Additional Staff,Sarah Thistle
Baltimore,91931,Center,YMCA of Central Maryland Highland Village Head Start Center,Baltimore,21227,Yes,1,Active,4,3,Apr 04 2023,Apr 03 2024,May 12 2014,,,MSDE,Allison Rudoy
Baltimore,91930,Center,YMCA Campfield Head Start,Baltimore,21207,Yes,4,Active,4,3,Apr 12 2023,Apr 11 2024,May 12 2014,,,MSDE,Allison Rudoy
Calvert,91698,Center,Dowell Elementary School Before and After School Program,Lusby,20657,Yes,3,Active,3,2,Aug 09 2023,Aug 08 2024,Jul 14 2014,,,,Amy Brannock
Anne Arundel,91632,Center,Super Kids Place Incorporated @ Jones ES,Severna Park,21146,Yes,1,Active,1,2,Oct 05 2023,Oct 04 2024,May 01 2015,,,,Theresa Lutz
Montgomery,91604,Center,Bar T at Watkins Mill Elementary School,Montgomery Village,20886,Yes,3,Active,3,2,May 03 2023,May 02 2024,Mar 28 2014,,,,Amy Brannock
Montgomery,91586,Center,Bar-T at Diamond Elementary,Gaithersburg,20878,Yes,1,Active,1,2,Jun 01 2023,May 31 2024,Dec 16 2013,,,,Amy Brannock
Prince George's,91434,Family Childcare,Mary Ellen Young,Bowie,20715,Yes,5,Active,5,2,Apr 19 2023,Apr 18 2024,Dec 03 2012,Health and Wellness  | Quality Business Practices  | Accredited Program 2024-06-28,National Association for Family Child Care (NAFCC) 2024-06-28,NAFCC  | National Association for Family Child Care (NAFCC) 2024-06-28,Nancy Gumbel
Montgomery,91187,Center,Small Wonders Child Care,Silver Spring,20904,Yes,1,Active,1,3,Sep 27 2023,Sep 26 2024,Jul 28 2014,,,,Ann Evans
Montgomery,91183,Center,One World Learning Center,Silver Spring,20904,Yes,3,Active,3,3,May 25 2023,May 24 2024,Oct 11 2013,,,,Michelle Gray
Carroll,91157,Center,YMCA SACC Cranberry Station,Westminster,21157,Yes,1,Active,1,2,Oct 31 2023,Oct 30 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Wicomico,91129,Center,Stepping Stones Learning Academy,Fruitland,21826,Yes,1,Active,1,3,Aug 15 2023,Aug 14 2024,Jun 26 2015,,,Middle States Association of Colleges and Schools Commission on Elementary and Secondary Schools (MSA-CESS) 2025-01-01,Sarah Thistle
Calvert,91113,Family Childcare,Alice Hawkins,Prince Frederick,20678,Yes,1,Active,1,2,Jul 06 2023,Jul 05 2024,Sep 28 2013,,,No Additional Staff,Michelle Gray
Prince George's,91108,LOC,Firm Foundation CEC,Temple Hills,20748,Yes,4,Active,4,3,Mar 03 2023,Mar 02 2024,Oct 11 2013,,,,Michelle Gray
Prince George's,90754,Family Childcare,Doreatha Hayes,Bowie,20721,Yes,3,Active,3,2,Jul 31 2023,Jul 30 2024,Nov 26 2014,,,No Additional Staff,Ann Evans
Prince George's,90627,Family Childcare,Brenda Brown,Hyattsville,20784,Yes,1,Active,1,2,Jul 12 2023,Jul 11 2024,Nov 27 2012,,,No Additional Staff,Michelle Gray
Baltimore,90193,Family Childcare,Doris Lyons,Baltimore,21222,Yes,1,Active,1,2,Mar 01 2023,Feb 29 2024,Dec 27 2013,,,,Sally Gill
Frederick,89771,Family Childcare,Ronda Ecker,Frederick,21703,Yes,2,Active,2,2,Mar 07 2023,Mar 06 2024,Dec 22 2014,,,No Additional Staff,Theresa Lutz
Wicomico,89738,Family Childcare,Wanda Jones,Salisbury,21804,Yes,3,Active,3,2,Aug 15 2023,Aug 14 2024,Sep 10 2013,,,No Additional Staff,Sally Gill
Baltimore City,89699,Family Childcare,Linda Stewart,Baltimore,21223,Yes,1,Active,1,2,Oct 13 2023,Oct 12 2024,Mar 11 2014,,,,Nancy Gumbel
Montgomery,89579,Center,Kids After Hours at Westover,Silver Spring,20904,Yes,3,Active,3,2,Jul 21 2023,Jul 20 2024,Mar 28 2014,,,,Rachel Dorf
Howard,89542,Center,Cradlerock Elementary  SAS,Columbia,21045,Yes,2,Active,2,2,Feb 24 2023,Feb 24 2024,Nov 08 2013,,,,Trish Miller
Prince George's,89428,Center,Happy Family Day Care,Adelphi,20783,Yes,4,Active,4,3,Jun 16 2023,Jun 15 2024,Sep 06 2013,Health and Wellness,,,Allison Rudoy
Baltimore,89282,Family Childcare,Deniece Cooper,Reisterstown,21136,Yes,1,Active,1,2,Jan 13 2023,Jan 13 2024,Dec 16 2013,,,,Jennifer Blandford
Washington,89063,Family Childcare,Carrie Kline,Smithsburg,21783,Yes,3,Active,3,2,Mar 06 2023,Mar 05 2024,Jan 24 2014,,,No Additional Staff,Theresa Lutz
Montgomery,89002,Center,Potomac Valley Academy Assembly of God,Germantown,20876,Yes,3,Active,3,3,Nov 01 2023,Oct 31 2024,Dec 03 2012,,,,Sarah Thistle
Washington,88731,Center,Good Shepherd Preschool,Hancock,21750,Yes,3,Active,3,3,Mar 23 2023,Mar 22 2024,Nov 27 2012,Health and Wellness  | Cultural and Linguistic Competency  | Quality Business Practices  | Eco-Friendly Program 2025-06-01,,,Jennifer Blandford
Dorchester,258163,Large Family Childcare,Diana Cephas,Cambridge,21613,Yes,3,Active,3,2,Jul 11 2023,Jul 10 2024,Nov 08 2013,,,No Additional Staff,Carla Hillery
Anne Arundel,88294,Center,Learning Tree Child Development Center of Annapolis,Annapolis,21401,Yes,3,Active,3,3,Jun 15 2023,Jun 14 2024,Dec 04 2012,,,National Association for the Education of Young Children (NAEYC),Julie Mitchell
Baltimore City,88021,Family Childcare,Vernice Kee-Davis,Baltimore,21229,Yes,3,Active,3,2,Nov 17 2023,Nov 16 2024,Jul 01 2013,,,NAFCC  | No Additional Staff,Michelle Gray
Prince George's,88017,Center,Kettering/Largo Community Center,Upper Marlboro,20774,Yes,1,Active,1,3,Jun 12 2023,Jun 11 2024,Jun 26 2015,,,,Laura Suguiyama
Queen Anne's,259682,Family Childcare,Colleen Moore,Chester,21619,Yes,5,Active,5,2,Oct 19 2023,Oct 18 2024,Nov 27 2012,Accredited Program 2025-11-01,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Michelle Gray
Baltimore,87616,Family Childcare,Tina Spraker,Baltimore,21220,Yes,1,Active,1,2,Jun 09 2023,Jun 08 2024,Feb 10 2014,,,,Michelle Gray
Montgomery,87182,Family Childcare,Effat Hormozi,Germantown,20874,Yes,1,Active,1,2,Sep 19 2023,Sep 18 2024,Jul 22 2016,,,No Additional Staff,Michelle Gray
Frederick,87104,Family Childcare,Betty Sanders,Frederick,21702,Yes,1,Active,1,2,Jul 14 2023,Jul 13 2024,Oct 20 2014,,,,Ann Evans
Baltimore City,86362,Family Childcare,Dorothy Foster,Baltimore,21215,Yes,1,Active,1,2,Apr 25 2023,Apr 24 2024,Sep 28 2013,,,No Additional Staff,Trish Miller
Frederick,86351,Family Childcare,Gustina Houser,Frederick,21703,Yes,3,Active,3,2,Aug 04 2023,Aug 03 2024,Jul 28 2014,,,No Additional Staff,Carla Hillery
Anne Arundel,85850,LOC,Galilee Lutheran Preschool,Pasadena,21122,Yes,2,Active,2,3,Oct 19 2023,Oct 18 2024,Oct 04 2018,,,,Michelle Gray
Saint Mary's,85638,Family Childcare,Elizabeth Lawson,Mechanicsville,20659,Yes,1,Active,1,2,Mar 16 2023,Mar 15 2024,Aug 09 2013,,,No Additional Staff,Theresa Lutz
Washington,85477,Family Childcare,Karen Burgan,Smithsburg,21783,Yes,1,Active,1,2,Sep 06 2023,Sep 05 2024,Jun 12 2015,,,,Yvette Dodson
Baltimore City,85394,Family Childcare,Yolanda Holland,Baltimore,21239,Yes,1,Active,1,2,Oct 25 2023,Oct 24 2024,Dec 16 2013,,,No Additional Staff,Sarah Thistle
Baltimore,85297,Family Childcare,Matilda Webb,Baltimore,21222,Yes,3,Active,3,2,Jun 21 2023,Jun 20 2024,Oct 24 2013,,,No Additional Staff,Trish Miller
Anne Arundel,85080,Center,KinderCare 301543,Laurel,20724,Yes,1,Active,1,3,Jul 28 2023,Jul 27 2024,Sep 28 2013,,National Association for the Education of Young Children (NAEYC) 2028-12-01,National Association for the Education of Young Children (NAEYC),Rachel Dorf
Carroll,84940,Center,Celebree Learning Center-Westminster,Westminster,21158,Yes,5,Active,5,3,May 31 2023,May 30 2024,Mar 06 2015,,,Maryland Accreditation 2026-05-31,Laura Suguiyama
Carroll,84939,Center,Celebree Learning Centers- Mt Airy,Mount Airy,21771,Yes,5,Active,5,3,Jun 06 2023,Jun 05 2024,Mar 06 2015,,,MSDE  | Maryland Accreditation 2026-04-30,Laura Suguiyama
Baltimore City,84425,Family Childcare,Shelly Mosley,Baltimore,21212,Yes,1,Active,1,2,Nov 14 2023,Nov 13 2024,Jul 14 2014,,,,Carla Hillery
Baltimore,84357,Family Childcare,Viola McCall,Baltimore,21234,Yes,3,Active,3,2,Jul 05 2023,Jul 04 2024,May 12 2014,,,No Additional Staff,Michelle Gray
Baltimore City,84277,Family Childcare,Celeste Joyner,Baltimore,21218,Yes,5,Active,5,2,Dec 07 2023,Dec 06 2024,Aug 22 2013,Quality Business Practices  | Health and Wellness  | Accredited Program 2025-11-01,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Sally Gill
Baltimore City,83967,Family Childcare,Osie Hursey,Baltimore,21213,Yes,3,Active,3,2,Mar 20 2023,Mar 19 2024,Oct 11 2013,,,No Additional Staff,Sarah Thistle
Montgomery,83778,Family Childcare,Martha Marquez,Takoma Park,20912,Yes,1,Active,1,2,Oct 24 2023,Oct 23 2024,Feb 10 2017,,,,Julie Mitchell
Baltimore City,83519,Family Childcare,Deborah Chase,Baltimore,21229,Yes,1,Active,1,2,Jun 27 2023,Jun 26 2024,Aug 23 2014,,,,Michelle Gray
Saint Mary's,83370,Family Childcare,Sharon Hamlet,Great Mills,20634,Yes,1,Active,1,2,Dec 19 2023,Dec 18 2024,Jan 26 2016,,,No Additional Staff,Ann Evans
Prince George's,82946,Center,College Park Community Center,College Park,20740,Yes,1,Active,1,2,Aug 22 2023,Aug 21 2024,Jun 26 2015,,,,Laura Suguiyama
Montgomery,82878,Family Childcare,Carmen Perlacios,Gaithersburg,20879,Yes,1,Active,1,2,Nov 13 2023,Nov 12 2024,Sep 20 2018,,,,Theresa Lutz
Cecil,82475,Center,Jesus Loves Me Daycare,North East,21901,Yes,2,Active,2,3,Sep 12 2023,Sep 11 2024,Dec 16 2013,,,,Carla Hillery
Baltimore City,82466,Family Childcare,Olivia Pugh,Baltimore,21214,Yes,3,Active,3,2,Aug 22 2023,Aug 21 2024,Mar 11 2014,,,No Additional Staff,Jennifer Blandford
Frederick,82375,Center,Whittier Elementary Before and After School Enrichment,Frederick,21702,Yes,2,Active,2,2,Mar 17 2023,Mar 16 2024,Mar 11 2014,,,,Jennifer Blandford
Wicomico,82301,Family Childcare,Gloria Smith,Salisbury,21801,Yes,1,Active,1,2,Nov 28 2023,Nov 27 2024,Jul 14 2014,,,,Michelle Gray
Anne Arundel,82017,LOC,St Andrew by the Bay Preschool,Annapolis,21401,Yes,1,Active,1,3,Jul 21 2023,Jul 20 2024,Oct 04 2014,,,,Trish Miller
Frederick,81793,Center,Valley Elementary Before and After School Enrichment,Jefferson,21755,Yes,1,Active,1,2,Jan 11 2023,Jan 11 2024,Mar 11 2014,,,,Jennifer Blandford
Prince George's,81671,Center,Al Huda Preschool,College Park,20740,Yes,0,Inactive,1,3,Nov 29 2022,Nov 29 2023,Oct 04 2014,,,,
Baltimore City,81544,Family Childcare,Belinda Fitzhugh,Baltimore,21229,Yes,1,Active,1,2,Aug 23 2023,Aug 22 2024,Dec 21 2014,,,,Theresa Lutz
Cecil,81499,Family Childcare,Cynthia Edwards,North East,21901,Yes,3,Active,3,2,Jan 27 2023,Jan 27 2024,Nov 27 2012,,,NAFCC  | No Additional Staff,Michelle Gray
Montgomery,81491,Center,The Children in the Shoe E-W Towers,Bethesda,20814,Yes,3,Active,3,3,Sep 07 2023,Sep 06 2024,Jun 26 2015,,,National Association for the Education of Young Children (NAEYC),Theresa Lutz
Anne Arundel,81469,Center,YMCA at Rippling Woods ES,Glen Burnie,21061,Yes,2,Active,2,2,Sep 21 2023,Sep 20 2024,Aug 23 2014,,,,Liana Vega-Hernandez
Anne Arundel,81468,Center,Cape Saint Claire Elementary School Age Child Care,Annapolis,21409,Yes,3,Active,3,2,Feb 23 2023,Feb 23 2024,Mar 11 2014,Health and Wellness,,,Jennifer Blandford
Howard,81409,Center,Glenwood Country Day School,Woodbine,21797,Yes,5,Active,5,3,Apr 18 2023,Apr 17 2024,Sep 28 2013,Accredited Program 2025-06-30,Maryland Accreditation 2025-06-30,MSDE  | Maryland Accreditation 2025-06-30,Rachel Dorf
Harford,81339,Center,Celebree School of Laurel Bush,Bel Air,21015,Yes,5,Active,5,3,Nov 29 2023,Nov 28 2024,Mar 06 2015,,,MSDE  | Maryland Accreditation 2026-04-30,Laura Suguiyama
Baltimore,81330,Center,Play Centers at Stoneleigh Elementary School,Baltimore,21212,Yes,3,Active,3,2,May 04 2023,May 03 2024,Dec 27 2013,,,,Theresa Lutz
Prince George's,81282,Center,Diane's Day Care,Capitol Heights,20743,Yes,1,Active,1,3,Jun 29 2023,Jun 28 2024,Apr 03 2015,,,,Sarah Thistle
Washington,81246,Family Childcare,Linda Nokes,Williamsport,21795,Yes,1,Active,1,2,May 17 2023,May 16 2024,Aug 23 2014,,,No Additional Staff,Michelle Gray
Allegany,81244,Family Childcare,Tiffany Crowe,Cresaptown,21502,Yes,3,Active,3,2,Sep 07 2023,Sep 06 2024,Feb 20 2015,,,No Additional Staff,Michelle Gray
Saint Mary's,80849,Family Childcare,Barbara Spitzer,Mechanicsville,20659,Yes,1,Active,1,2,Sep 07 2023,Sep 06 2024,Jul 08 2016,,,No Additional Staff,Michelle Gray
Frederick,80496,Center,KinderCare-000882,Frederick,21703,Yes,1,Active,1,3,Jul 28 2023,Jul 27 2024,Sep 28 2013,,,National Association for the Education of Young Children (NAEYC) 2025-05-01,Rachel Dorf
Cecil,80331,Family Childcare,Diane Shortall,Elkton,21921,Yes,1,Active,1,2,Jul 28 2023,Jul 27 2024,Nov 08 2013,,,,Trish Miller
Prince George's,80243,Family Childcare,Meena Gaafar,Lanham,20706,Yes,2,Active,2,2,Nov 02 2023,Nov 01 2024,Aug 22 2013,,,No Additional Staff,Amy Brannock
Baltimore,80214,Family Childcare,Frances Johnson,Randallstown,21133,Yes,1,Active,1,2,Aug 04 2023,Aug 03 2024,Dec 02 2013,,,No Additional Staff,Sally Gill
Prince George's,80077,Family Childcare,Brenda Hawkins,Upper Marlboro,20774,Yes,3,Active,3,2,Jul 21 2023,Jul 20 2024,May 13 2015,,,No Additional Staff,Yvette Dodson
Allegany,80016,Center,YMCA School Age Child Care Center,Cumberland,21502,Yes,3,Active,3,2,Dec 07 2023,Dec 06 2024,Jul 22 2014,,,,Karina Cortes Hudack
Allegany,79882,LOC,Lighthouse Christian Day Care,Cumberland,21502,Yes,1,Active,1,3,Nov 13 2023,Nov 12 2024,Jan 17 2015,,,,Julie Mitchell
Baltimore,79794,Center,Play and Learn at Hunt Valley,Hunt Valley,21031,Yes,3,Active,3,3,Sep 15 2023,Sep 14 2024,Dec 03 2012,,,,Theresa Lutz
Montgomery,79723,Family Childcare,Claudia Mikeliunas,Silver Spring,20902,Yes,1,Active,1,2,May 15 2023,May 14 2024,Sep 28 2013,,,NAFCC  | No Additional Staff,Sally Gill
Prince George's,79662,Family Childcare,Jamelle Martin,Clinton,20735,Yes,1,Active,1,2,Jun 01 2023,May 31 2024,Nov 15 2013,,,,Ann Evans
Baltimore,79551,Center,Creative Kids Child Care Center,Baltimore,21227,Yes,1,Active,1,3,Apr 03 2023,Apr 02 2024,Dec 22 2014,,,,Sarah Thistle
Carroll,79504,Family Childcare,Jennifer Farrow,Taneytown,21787,Yes,1,Active,1,2,Jul 18 2023,Jul 17 2024,Oct 03 2014,,,,Michelle Gray
Montgomery,78905,Family Childcare,Khadra Ayorinde,Rockville,20851,Yes,5,Active,5,2,Sep 07 2023,Sep 06 2024,Jul 08 2013,,,NAFCC  | No Additional Staff  | National Association for Family Child Care (NAFCC) 2025-11-01,Jennifer Blandford
Charles,258211,Family Childcare,Lisa Hogan,Waldorf,20603,Yes,1,Active,1,2,Feb 07 2023,Feb 07 2024,Feb 23 2018,,,,Theresa Lutz
Anne Arundel,78619,Family Childcare,Donna Novak,Glen Burnie,21060,Yes,1,Active,1,2,Dec 26 2023,Dec 25 2024,Oct 03 2014,,,,Carla Hillery
Harford,78314,Center,Childtime Children's Center # 823,Bel Air,21014,Yes,1,Active,1,3,Aug 14 2023,Aug 13 2024,Jun 12 2015,,,NECPA  | National Early Childhood Program Accreditation (NECPA) 2025-07-31,Sarah Thistle
Harford,78312,Center,Childtime Children's Center #824,Belcamp,21017,Yes,1,Active,1,3,Dec 08 2023,Dec 07 2024,Aug 23 2014,,,NECPA,Sarah Thistle
Harford,78199,LOC,Good Shepherd Lutheran Preschool,Bel Air,21014,Yes,3,Active,3,3,Feb 22 2023,Feb 22 2024,Dec 16 2013,,,,Rachel Dorf
Baltimore City,78141,LOC,St.Francis of Assisi ASCP,Baltimore,21218,Yes,1,Active,1,3,Nov 17 2023,Nov 16 2024,Mar 06 2015,,,AdvancED,Sarah Thistle
Washington,78126,Center,Gateway Learning Center,Williamsport,21795,Yes,3,Active,3,3,Nov 16 2023,Nov 15 2024,Jan 26 2016,,,,Liana Vega-Hernandez
Baltimore City,77644,Family Childcare,Ernestine Carter,Baltimore,21213,Yes,2,Active,2,2,Apr 06 2023,Apr 05 2024,Dec 27 2013,,,No Additional Staff,Wendy Dantzler
Frederick,77213,Family Childcare,Sheri Yarborough,Frederick,21702,Yes,1,Active,1,2,Oct 26 2023,Oct 25 2024,Oct 20 2014,,,,Ann Evans
Baltimore,77001,Family Childcare,Cheryl Abbott,Baltimore,21207,Yes,1,Active,1,2,Feb 22 2023,Feb 22 2024,Oct 03 2014,,,,Michelle Gray
